at_request,ts_iso,elapsed_s,metric,value
100,2026-08-27T14:49:18.094+00:00,421.452,llamacpp:spec_decode_num_draft_tokens_total,30476.0
100,2026-08-27T14:49:18.094+00:00,421.452,llamacpp:spec_decode_num_drafts_total,7619.0
100,2026-08-27T14:49:18.094+00:00,421.452,llamacpp:tokens_predicted_seconds_total,1925.19
100,2026-08-27T14:49:18.094+00:00,421.452,llamacpp:tokens_predicted_total,29474.0
150,2026-08-27T14:52:51.516+00:00,634.875,llamacpp:n_busy_slots_per_decode,1.0
150,2026-08-27T14:52:51.516+00:00,634.875,llamacpp:n_decode_total,8210.0
150,2026-08-27T14:52:51.516+00:00,634.875,llamacpp:n_tokens_max,29361.0
150,2026-08-27T14:52:51.516+00:00,634.875,llamacpp:predicted_tokens_seconds,9.03369
150,2026-08-27T14:52:51.516+00:00,634.875,llamacpp:prompt_seconds_total,1733.91
150,2026-08-27T14:52:51.516+00:00,634.875,llamacpp:prompt_tokens_cached_total,1219860.0
150,2026-08-27T14:52:51.516+00:00,634.875,llamacpp:prompt_tokens_seconds,277.251
150,2026-08-27T14:52:51.516+00:00,634.875,llamacpp:prompt_tokens_total,427430.0
150,2026-08-27T14:52:51.516+00:00,634.875,llamacpp:requests_deferred,0.0
150,2026-08-27T14:52:51.516+00:00,634.875,llamacpp:requests_processing,0.0
150,2026-08-27T14:52:51.516+00:00,634.875,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""0""}",6860.0
150,2026-08-27T14:52:51.516+00:00,634.875,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""1""}",5758.0
150,2026-08-27T14:52:51.516+00:00,634.875,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""2""}",4971.0
150,2026-08-27T14:52:51.516+00:00,634.875,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""3""}",4232.0
150,2026-08-27T14:52:51.516+00:00,634.875,llamacpp:spec_decode_num_accepted_tokens_total,21821.0
150,2026-08-27T14:52:51.516+00:00,634.875,llamacpp:spec_decode_num_draft_tokens_total,30676.0
150,2026-08-27T14:52:51.516+00:00,634.875,llamacpp:spec_decode_num_drafts_total,7669.0
150,2026-08-27T14:52:51.516+00:00,634.875,llamacpp:tokens_predicted_seconds_total,1930.72
150,2026-08-27T14:52:51.516+00:00,634.875,llamacpp:tokens_predicted_total,29574.0
200,2026-08-27T14:56:23.268+00:00,846.626,llamacpp:n_busy_slots_per_decode,1.0
200,2026-08-27T14:56:23.268+00:00,846.626,llamacpp:n_decode_total,8310.0
200,2026-08-27T14:56:23.268+00:00,846.626,llamacpp:n_tokens_max,29361.0
200,2026-08-27T14:56:23.268+00:00,846.626,llamacpp:predicted_tokens_seconds,9.04145
200,2026-08-27T14:56:23.268+00:00,846.626,llamacpp:prompt_seconds_total,1777.94
200,2026-08-27T14:56:23.268+00:00,846.626,llamacpp:prompt_tokens_cached_total,1219860.0
200,2026-08-27T14:56:23.268+00:00,846.626,llamacpp:prompt_tokens_seconds,278.655
200,2026-08-27T14:56:23.268+00:00,846.626,llamacpp:prompt_tokens_total,439698.0
200,2026-08-27T14:56:23.268+00:00,846.626,llamacpp:requests_deferred,0.0
200,2026-08-27T14:56:23.268+00:00,846.626,llamacpp:requests_processing,0.0
200,2026-08-27T14:56:23.268+00:00,846.626,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""0""}",6910.0
200,2026-08-27T14:56:23.268+00:00,846.626,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""1""}",5758.0
200,2026-08-27T14:56:23.268+00:00,846.626,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""2""}",4971.0
200,2026-08-27T14:56:23.268+00:00,846.626,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""3""}",4232.0
200,2026-08-27T14:56:23.268+00:00,846.626,llamacpp:spec_decode_num_accepted_tokens_total,21871.0
200,2026-08-27T14:56:23.268+00:00,846.626,llamacpp:spec_decode_num_draft_tokens_total,30876.0
200,2026-08-27T14:56:23.268+00:00,846.626,llamacpp:spec_decode_num_drafts_total,7719.0
200,2026-08-27T14:56:23.268+00:00,846.626,llamacpp:tokens_predicted_seconds_total,1936.25
200,2026-08-27T14:56:23.268+00:00,846.626,llamacpp:tokens_predicted_total,29674.0
250,2026-08-27T14:59:56.550+00:00,1059.909,llamacpp:n_busy_slots_per_decode,1.0
250,2026-08-27T14:59:56.550+00:00,1059.909,llamacpp:n_decode_total,8410.0
250,2026-08-27T14:59:56.550+00:00,1059.909,llamacpp:n_tokens_max,29361.0
250,2026-08-27T14:59:56.550+00:00,1059.909,llamacpp:predicted_tokens_seconds,9.01773
250,2026-08-27T14:59:56.550+00:00,1059.909,llamacpp:prompt_seconds_total,1821.95
250,2026-08-27T14:59:56.550+00:00,1059.909,llamacpp:prompt_tokens_cached_total,1219860.0
