ts,energy_pwh,power_mw
2026-08-13T00:43:40.0335971-04:00,126051578666666,28398.8034066594
2026-08-13T00:43:42.0713856-04:00,126063564662500,18424.5950581395
2026-08-13T00:43:44.1002572-04:00,126073727737500,17972.5652709622
2026-08-13T00:43:46.1301989-04:00,126140160537500,136870.885498549
2026-08-13T00:43:48.1624113-04:00,126217368466666,137008.920724205
2026-08-13T00:43:50.1932771-04:00,126294185662500,136484.572801785
2026-08-13T00:43:52.2242930-04:00,126371080237500,135995.80696082
2026-08-13T00:43:54.2451891-04:00,126443432966666,123528.762315567
2026-08-13T00:43:56.2958116-04:00,126510538541666,117775.958757032
2026-08-13T00:43:58.3404521-04:00,126577454091666,117722.252283032
2026-08-13T00:44:00.3851264-04:00,126644421408333,117791.199377024
2026-08-13T00:44:02.4596939-04:00,126712404708333,117859.757494612
2026-08-13T00:44:04.4972886-04:00,126779179120833,117760.51877066
2026-08-13T00:44:06.5499544-04:00,126846422733333,117996.194213836
2026-08-13T00:44:08.6054270-04:00,126913697079166,117719.465363317
2026-08-13T00:44:10.6589285-04:00,126980940437500,117583.648097715
2026-08-13T00:44:12.7318974-04:00,127048900245833,118031.820136285
2026-08-13T00:44:14.7860106-04:00,127116172879166,117804.808334162
2026-08-13T00:44:16.8434557-04:00,127183568212500,117808.113868438
2026-08-13T00:44:18.8847750-04:00,127248476016666,110933.37707539
2026-08-13T00:44:20.9328691-04:00,127314883466666,128352.871396487
2026-08-13T00:44:22.9871709-04:00,127383003033333,117130.116903066
2026-08-13T00:44:25.0217512-04:00,127449580100000,117814.229164361
2026-08-13T00:44:27.0710056-04:00,127516739775000,118061.699925675
2026-08-13T00:44:29.1146299-04:00,127583573270833,117445.192968308
2026-08-13T00:44:31.1724996-04:00,127651022591666,117861.365671219
2026-08-13T00:44:33.2234440-04:00,127717922204166,116926.17360496
2026-08-13T00:44:35.2518221-04:00,127784078675000,116590.609773356
2026-08-13T00:44:37.3002892-04:00,127851235537500,117486.948854102
2026-08-13T00:44:39.3484830-04:00,127917514516666,116186.465641037
2026-08-13T00:44:41.4078023-04:00,127984530312500,117320.585247625
2026-08-13T00:44:43.4335170-04:00,128049995562500,116270.227204992
2026-08-13T00:44:45.4799449-04:00,128116173662500,116466.692743066
2026-08-13T00:44:47.5235636-04:00,128182281837500,117055.83791088
2026-08-13T00:44:49.5574199-04:00,128248190445833,116588.39716537
2026-08-13T00:44:51.5941829-04:00,128314560475000,117094.718988572
2026-08-13T00:44:53.6228014-04:00,128380467050000,117972.51387593
2026-08-13T00:44:55.6501599-04:00,128443515758333,111863.87030454
2026-08-13T00:44:57.6784821-04:00,128511194075000,119012.210807735
2026-08-13T00:44:59.7399218-04:00,128578525908333,117415.641420707
2026-08-13T00:45:01.7767032-04:00,128644880212500,117463.83203637
2026-08-13T00:45:03.8194278-04:00,128711434066666,116749.521810986
2026-08-13T00:45:05.8612685-04:00,128778131545833,117654.757775056
2026-08-13T00:45:07.8908672-04:00,128844876962500,119035.849856088
2026-08-13T00:45:09.9323297-04:00,128910813654166,117883.172693553
2026-08-13T00:45:11.9559730-04:00,128976950054166,117578.358805108
2026-08-13T00:45:13.9881904-04:00,129042956583333,115951.373802477
2026-08-13T00:45:16.0197516-04:00,129109126645833,116865.973353231
2026-08-13T00:45:18.0593500-04:00,129175659737500,116995.133906498
2026-08-13T00:45:20.0918219-04:00,129241620020833,117292.400766454
2026-08-13T00:45:22.1332858-04:00,129308253195833,117697.380149952
2026-08-13T00:45:24.1681576-04:00,129374329329166,116552.519770784
2026-08-13T00:45:26.2147454-04:00,129441109037500,117752.081485994
2026-08-13T00:45:28.2456682-04:00,129507133970833,117704.797729089
2026-08-13T00:45:30.2873320-04:00,129572513825000,113536.99555112
